========================================
Log file: /home/yh/FPGA_Work/FPL_AE/Log/seg_land.log
Started : 2026-06-08T14:44:38+02:00
========================================
interrupt_selection .
xdma                   98304  0
Loading driver...insmod xdma.ko interrupt_mode=2 ...

The Kernel module installed correctly and the xmda devices were recognized.
DONE
PCIE XDMA RUN OK
XDMA/UART permission OK
===== SegNet @ Land Segmentation =====
========================================
PAT 写入 + 读回校验
========================================
PAT 文件   : layer1_weight_DDR.pat
写设备     : /dev/xdma0_h2c_0
读设备     : /dev/xdma0_c2h_0
起始地址   : 0x0
逐行校验   : False
========================================
[OK] 写入并校验成功
有效行数   : 1440
总字节数   : 46080 (0xB400)
[UART] open /dev/ttyUSB0 @ 115200 bps, timeout=5s
[DATASET] loading seg labels from ./Label_New_64.npy ...
[DATASET] total=12764, test_offset=10211, test_samples=2553
[BENCH] baseline trigger ...
[BENCH] t0 cycles=0 seconds=0
Image    61: pixAcc(this)= 98.32%  running pixAcc= 98.69%  IoU_fg=0.9192
Image    62: pixAcc(this)= 99.05%  running pixAcc= 98.69%  IoU_fg=0.9195
Image    63: pixAcc(this)= 98.51%  running pixAcc= 98.69%  IoU_fg=0.9193
Image    64: pixAcc(this)= 98.39%  running pixAcc= 98.68%  IoU_fg=0.9190
Image    65: pixAcc(this)= 99.56%  running pixAcc= 98.70%  IoU_fg=0.9196
Image    66: pixAcc(this)= 98.29%  running pixAcc= 98.69%  IoU_fg=0.9194
Image    67: pixAcc(this)= 98.34%  running pixAcc= 98.69%  IoU_fg=0.9192
Image    68: pixAcc(this)= 99.00%  running pixAcc= 98.69%  IoU_fg=0.9197
Image    69: pixAcc(this)= 99.19%  running pixAcc= 98.70%  IoU_fg=0.9200
Image    70: pixAcc(this)= 98.14%  running pixAcc= 98.69%  IoU_fg=0.9199
Image    71: pixAcc(this)= 98.95%  running pixAcc= 98.69%  IoU_fg=0.9202
Image    72: pixAcc(this)= 98.80%  running pixAcc= 98.69%  IoU_fg=0.9202
Image    73: pixAcc(this)= 99.10%  running pixAcc= 98.70%  IoU_fg=0.9203
Image    74: pixAcc(this)= 99.12%  running pixAcc= 98.71%  IoU_fg=0.9205
Image    75: pixAcc(this)= 99.37%  running pixAcc= 98.71%  IoU_fg=0.9209
Image    76: pixAcc(this)= 98.73%  running pixAcc= 98.71%  IoU_fg=0.9207
Image    77: pixAcc(this)= 99.10%  running pixAcc= 98.72%  IoU_fg=0.9212
Image    78: pixAcc(this)= 98.66%  running pixAcc= 98.72%  IoU_fg=0.9211
Image    79: pixAcc(this)= 99.10%  running pixAcc= 98.72%  IoU_fg=0.9214
Image    80: pixAcc(this)= 98.29%  running pixAcc= 98.72%  IoU_fg=0.9211
